TRANSACTION_ID,FF_NUMBER,PASSENGER_ID,RESERVATION_ID,TRANSACTION_DATE,TRANSACTION_TYPE,MILES_AMOUNT,SOURCE_SYSTEM,DESCRIPTION
500022,FF100047,47,23,2024-01-21,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500023,FF100049,49,24,01/22/2024,EARN,21600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500024,FF100055,55,26,25-JAN-2024,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500025,FF100059,59,27,2024-01-26,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500026,FF100063,63,28,2024-01-26,EARN,39,RESERVATION_SYSTEM,Miles earned from completed flight booking
500027,FF100065,65,29,28-JAN-2024,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500028,FF100077,77,30,01/29/2024,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500029,FF100001,1,31,30-JAN-2024,EARN,1500,RESERVATION_SYSTEM,Miles earned from completed flight booking
500030,FF100003,3,32,02/01/2024,EARN,8400,RESERVATION_SYSTEM,Miles earned from completed flight booking
500031,FF100005,5,33,2024-01-30,REDEEM,-4000,RESERVATION_SYSTEM,Miles redeemed during reservation
500032,FF100009,9,34,2024-02-01,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500033,FF100011,11,35,2024-02-03,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500034,FF100013,13,36,02/04/2024,EARN,1600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500035,FF100017,17,37,05-FEB-2024,EARN,21600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500036,FF100019,19,38,02/07/2024,EARN,1240,RESERVATION_SYSTEM,Miles earned from completed flight booking
500037,FF100023,23,39,02/08/2024,EARN,1740,RESERVATION_SYSTEM,Miles earned from completed flight booking
500038,FF100025,25,40,07-FEB-2024,EARN,35,RESERVATION_SYSTEM,Miles earned from completed flight booking
500039,FF100029,29,41,02/10/2024,EARN,27000,RESERVATION_SYSTEM,Miles earned from completed flight booking
500040,FF100031,31,42,02/10/2024,EARN,2700,RESERVATION_SYSTEM,Miles earned from completed flight booking
500041,FF100033,33,43,02/09/2024,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500042,FF100035,35,44,13-FEB-2024,EARN,48,RESERVATION_SYSTEM,Miles earned from completed flight booking
500043,FF100037,37,45,2024-02-13,EARN,55,RESERVATION_SYSTEM,Miles earned from completed flight booking
500044,FF100041,41,47,16-FEB-2024,EARN,4560,RESERVATION_SYSTEM,Miles earned from completed flight booking
500045,FF100043,43,48,2024-02-14,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500046,FF100045,45,49,02/18/2024,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500047,FF100047,47,50,02/17/2024,EARN,37,RESERVATION_SYSTEM,Miles earned from completed flight booking
500048,FF100004,4,51,02/17/2024,EARN,49,RESERVATION_SYSTEM,Miles earned from completed flight booking
500049,FF100007,7,52,02/21/2024,EARN,27000,RESERVATION_SYSTEM,Miles earned from completed flight booking
500050,FF100010,10,53,02/20/2024,EARN,90,RESERVATION_SYSTEM,Miles earned from completed flight booking
500051,FF100016,16,54,2024-02-20,EARN,48,RESERVATION_SYSTEM,Miles earned from completed flight booking
500052,FF100020,20,55,24-FEB-2024,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500053,FF100022,22,56,2024-02-23,EARN,2700,RESERVATION_SYSTEM,Miles earned from completed flight booking
500054,FF100026,26,57,02/26/2024,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500055,FF100028,28,58,24-FEB-2024,REDEEM,-5000,RESERVATION_SYSTEM,Miles redeemed during reservation
500056,FF100030,30,59,02/25/2024,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500057,FF100032,32,60,28-FEB-2024,EARN,27,RESERVATION_SYSTEM,Miles earned from completed flight booking
500058,FF100034,34,61,01-MAR-2024,EARN,1560,RESERVATION_SYSTEM,Miles earned from completed flight booking
500059,FF100036,36,62,02/29/2024,EARN,56,RESERVATION_SYSTEM,Miles earned from completed flight booking
500060,FF100038,38,63,03/01/2024,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500061,FF100040,40,64,2024-03-04,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500062,FF100042,42,65,03-MAR-2024,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500063,FF100044,44,66,03/05/2024,EARN,48,RESERVATION_SYSTEM,Miles earned from completed flight booking
500064,FF100046,46,67,03/08/2024,EARN,55,RESERVATION_SYSTEM,Miles earned from completed flight booking
500065,FF100048,48,68,03/06/2024,EARN,35,RESERVATION_SYSTEM,Miles earned from completed flight booking
500066,FF100050,50,69,09-MAR-2024,EARN,28,RESERVATION_SYSTEM,Miles earned from completed flight booking
500067,FF100052,52,70,10-MAR-2024,EARN,3120,RESERVATION_SYSTEM,Miles earned from completed flight booking
500068,FF100054,54,71,03/12/2024,EARN,1500,RESERVATION_SYSTEM,Miles earned from completed flight booking
500069,FF100056,56,72,03/13/2024,EARN,1860,RESERVATION_SYSTEM,Miles earned from completed flight booking
500070,FF100058,58,73,2024-03-14,EARN,90,RESERVATION_SYSTEM,Miles earned from completed flight booking
500071,FF100060,60,74,2024-03-15,EARN,48,RESERVATION_SYSTEM,Miles earned from completed flight booking
500072,FF100062,62,75,03/16/2024,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500073,FF100064,64,76,16-MAR-2024,EARN,27000,RESERVATION_SYSTEM,Miles earned from completed flight booking
500074,FF100066,66,77,03/16/2024,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500075,FF100068,68,78,03/17/2024,EARN,1240,RESERVATION_SYSTEM,Miles earned from completed flight booking
500076,FF100001,1,79,2024-03-18,EARN,1740,RESERVATION_SYSTEM,Miles earned from completed flight booking
500077,FF100005,5,80,03/18/2024,REDEEM,-3000,RESERVATION_SYSTEM,Miles redeemed during reservation
500078,FF100009,9,81,03/20/2024,EARN,39,RESERVATION_SYSTEM,Miles earned from completed flight booking
500079,FF100013,13,82,22-MAR-2024,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500080,FF100017,17,83,2024-03-21,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500081,FF100019,19,84,2024-03-22,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500082,FF100029,29,85,03/25/2024,EARN,27,RESERVATION_SYSTEM,Miles earned from completed flight booking
500083,FF100045,45,86,24-MAR-2024,EARN,1560,RESERVATION_SYSTEM,Miles earned from completed flight booking
500084,FF100061,61,87,03/26/2024,EARN,27000,RESERVATION_SYSTEM,Miles earned from completed flight booking
500085,FF100065,65,88,03/29/2024,EARN,1290,RESERVATION_SYSTEM,Miles earned from completed flight booking
500086,FF100003,3,89,27-MAR-2024,EARN,1500,RESERVATION_SYSTEM,Miles earned from completed flight booking
500087,FF100025,25,90,2024-03-30,EARN,21600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500088,FF100077,77,92,2024-03-30,EARN,42,RESERVATION_SYSTEM,Miles earned from completed flight booking
500089,FF100079,79,93,31-MAR-2024,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500090,FF100001,1,94,2024-04-03,EARN,33600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500091,FF100005,5,95,2024-04-05,EARN,1740,RESERVATION_SYSTEM,Miles earned from completed flight booking
500092,FF100009,9,96,04/06/2024,EARN,1560,RESERVATION_SYSTEM,Miles earned from completed flight booking
500093,FF100013,13,97,2024-04-05,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500094,FF100017,17,98,2024-04-08,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500095,FF100019,19,99,04/08/2024,EARN,39,RESERVATION_SYSTEM,Miles earned from completed flight booking
500096,FF100045,45,100,2024-04-09,EARN,55,RESERVATION_SYSTEM,Miles earned from completed flight booking
500097,FF100002,2,101,04/08/2024,EARN,35,RESERVATION_SYSTEM,Miles earned from completed flight booking
500098,FF100006,6,102,2024-04-11,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500099,FF100008,8,103,04/11/2024,EARN,67,RESERVATION_SYSTEM,Miles earned from completed flight booking
500100,FF100010,10,104,2024-04-14,EARN,1240,RESERVATION_SYSTEM,Miles earned from completed flight booking
500101,FF100012,12,105,04/13/2024,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500102,FF100014,14,106,2024-04-16,EARN,39,RESERVATION_SYSTEM,Miles earned from completed flight booking
500103,FF100016,16,107,17-APR-2024,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500104,FF100018,18,108,15-APR-2024,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500105,FF100020,20,109,04/16/2024,REDEEM,-6000,RESERVATION_SYSTEM,Miles redeemed during reservation
500106,FF100022,22,110,04/20/2024,EARN,2100,RESERVATION_SYSTEM,Miles earned from completed flight booking
500107,FF100024,24,111,04/19/2024,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500108,FF100026,26,112,2024-04-21,EARN,27,RESERVATION_SYSTEM,Miles earned from completed flight booking
500109,FF100028,28,113,2024-04-21,EARN,33600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500110,FF100030,30,114,2024-04-22,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500111,FF100032,32,115,2024-04-25,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500112,FF100034,34,116,04/23/2024,EARN,48,RESERVATION_SYSTEM,Miles earned from completed flight booking
500113,FF100036,36,117,26-APR-2024,EARN,1560,RESERVATION_SYSTEM,Miles earned from completed flight booking
500114,FF100038,38,118,2024-04-28,EARN,90,RESERVATION_SYSTEM,Miles earned from completed flight booking
500115,FF100040,40,119,04/26/2024,EARN,1740,RESERVATION_SYSTEM,Miles earned from completed flight booking
500116,FF100042,42,120,29-APR-2024,EARN,35,RESERVATION_SYSTEM,Miles earned from completed flight booking
500117,FF100044,44,121,05/01/2024,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500118,FF100046,46,122,30-APR-2024,EARN,42,RESERVATION_SYSTEM,Miles earned from completed flight booking
500119,FF100048,48,123,2024-05-01,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500120,FF100050,50,124,05/04/2024,EARN,35,RESERVATION_SYSTEM,Miles earned from completed flight booking
500121,FF100052,52,125,05/02/2024,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500122,FF100054,54,126,2024-05-06,EARN,1500,RESERVATION_SYSTEM,Miles earned from completed flight booking
500123,FF100056,56,127,04-MAY-2024,EARN,1860,RESERVATION_SYSTEM,Miles earned from completed flight booking
500124,FF100058,58,128,2024-05-08,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500125,FF100060,60,129,05/06/2024,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500126,FF100062,62,130,2024-05-09,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500127,FF100064,64,131,2024-05-11,EARN,1500,RESERVATION_SYSTEM,Miles earned from completed flight booking
500128,FF100066,66,132,12-MAY-2024,EARN,27000,RESERVATION_SYSTEM,Miles earned from completed flight booking
500129,FF100068,68,133,05/10/2024,EARN,67,RESERVATION_SYSTEM,Miles earned from completed flight booking
500130,FF100070,70,134,05/14/2024,EARN,1240,RESERVATION_SYSTEM,Miles earned from completed flight booking
500131,FF100072,72,135,05/15/2024,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500132,FF100074,74,136,2024-05-14,EARN,39,RESERVATION_SYSTEM,Miles earned from completed flight booking
500133,FF100076,76,137,2024-05-14,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500134,FF100078,78,138,05/18/2024,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500135,FF100080,80,139,2024-05-16,REDEEM,-9000,RESERVATION_SYSTEM,Miles redeemed during reservation
500136,FF100082,82,140,05/19/2024,EARN,2100,RESERVATION_SYSTEM,Miles earned from completed flight booking
500137,FF100084,84,141,18-MAY-2024,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500138,FF100086,86,142,19-MAY-2024,EARN,27,RESERVATION_SYSTEM,Miles earned from completed flight booking
500139,FF100088,88,143,22-MAY-2024,EARN,33600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500140,FF100090,90,144,2024-05-21,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500141,FF100092,92,145,24-MAY-2024,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500142,FF100094,94,146,25-MAY-2024,EARN,42,RESERVATION_SYSTEM,Miles earned from completed flight booking
500143,FF100096,96,147,25-MAY-2024,EARN,1560,RESERVATION_SYSTEM,Miles earned from completed flight booking
500144,FF100098,98,148,2024-05-27,EARN,90,RESERVATION_SYSTEM,Miles earned from completed flight booking
500145,FF100100,100,149,05/28/2024,EARN,1740,RESERVATION_SYSTEM,Miles earned from completed flight booking
500146,FF100102,102,150,2024-05-28,EARN,35,RESERVATION_SYSTEM,Miles earned from completed flight booking
500147,FF100099,99,151,28-MAY-2024,EARN,45,RESERVATION_SYSTEM,Miles earned from completed flight booking
500148,FF100101,101,152,2024-05-31,EARN,42,RESERVATION_SYSTEM,Miles earned from completed flight booking
500149,FF100103,103,153,06/01/2024,EARN,52,RESERVATION_SYSTEM,Miles earned from completed flight booking
500150,FF100105,105,154,03-JUN-2024,EARN,55,RESERVATION_SYSTEM,Miles earned from completed flight booking
500151,FF100107,107,155,03-JUN-2024,EARN,1050,RESERVATION_SYSTEM,Miles earned from completed flight booking
500152,FF100109,109,156,04-JUN-2024,EARN,33600,RESERVATION_SYSTEM,Miles earned from completed flight booking
500153,FF100111,111,157,2024-06-04,EARN,1860,RESERVATION_SYSTEM,Miles earned from completed flight booking
500154,FF100113,113,158,06/05/2024,EARN,1200,RESERVATION_SYSTEM,Miles earned from completed flight booking
500155,FF100115,115,159,06/06/2024,EARN,1800,RESERVATION_SYSTEM,Miles earned from completed flight booking
500156,FF100117,117,160,06/08/2024,EARN,97,RESERVATION_SYSTEM,Miles earned from completed flight booking
500157,FF100013,13,36,02-FEB-2024,REDEEM,-15000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500158,FF100001,1,79,17-MAR-2024,REDEEM,-20000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500159,FF100001,1,94,01-APR-2024,REDEEM,-25000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500160,FF100024,24,111,2024-04-21,REDEEM,-8000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500161,FF100028,28,113,04/30/2024,REDEEM,-25000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500162,FF100102,102,150,06/16/2024,REDEEM,-15000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500163,FF100019,19,7,01/17/2024,REDEEM,-25000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500164,FF100046,46,122,2024-05-06,REDEEM,-20000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500165,FF100044,44,66,03/12/2024,REDEEM,-8000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500166,FF100026,26,57,2024-03-10,REDEEM,-20000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500167,FF100045,45,49,25-FEB-2024,REDEEM,-12000,UPGRADE_SYSTEM,Miles used for cabin upgrade
500168,FF100118,118,,2024-04-26,EXPIRE,-5000,MANUAL_ADJUSTMENT,Expired miles batch
500169,FF100029,29,,28-MAY-2024,EXPIRE,-750,MANUAL_ADJUSTMENT,Expired miles batch
500170,FF100059,59,,08-MAR-2024,BONUS,1500,PROMOTION_ENGINE,Bonus miles campaign
500171,FF100040,40,,15-JAN-2024,BONUS,250,MANUAL_ADJUSTMENT,Bonus miles campaign
500172,FF100061,61,,2024-01-30,BONUS,1500,PROMOTION_ENGINE,Bonus miles campaign
500173,FF100010,10,,2024-04-24,BONUS,5000,MANUAL_ADJUSTMENT,Bonus miles campaign
500174,FF100050,50,,2024-03-02,BONUS,750,LOYALTY_SYSTEM,Bonus miles campaign
500175,FF100091,91,,02/07/2024,ADJUSTMENT,-500,LOYALTY_SYSTEM,Customer care miles adjustment
500176,FF100058,58,,13-MAR-2024,ADJUSTMENT,1000,LOYALTY_SYSTEM,Customer care miles adjustment
500177,FF100029,29,,06/11/2024,BONUS,1000,LOYALTY_SYSTEM,Bonus miles campaign
500178,FF100055,55,,2024-03-03,ADJUSTMENT,500,LOYALTY_SYSTEM,Customer care miles adjustment
500179,FF100104,104,,2024-03-27,EXPIRE,-750,PROMOTION_ENGINE,Expired miles batch
500180,FF100038,38,,01/17/2024,BONUS,1500,LOYALTY_SYSTEM,Bonus miles campaign
500181,FF100086,86,,19-MAY-2024,BONUS,5000,MANUAL_ADJUSTMENT,Bonus miles campaign
500182,FF100079,79,,01/14/2024,BONUS,1000,PROMOTION_ENGINE,Bonus miles campaign
500183,FF100099,99,,05-JUN-2024,BONUS,1500,PROMOTION_ENGINE,Bonus miles campaign
500184,FF100113,113,,05/27/2024,EXPIRE,-1500,PROMOTION_ENGINE,Expired miles batch
500185,FF100048,48,,02-MAR-2024,BONUS,1000,PROMOTION_ENGINE,Bonus miles campaign
500186,FF100099,99,,2024-02-13,BONUS,2000,LOYALTY_SYSTEM,Bonus miles campaign
500187,FF100054,54,,2024-02-20,BONUS,1500,LOYALTY_SYSTEM,Bonus miles campaign
500188,FF100099,99,,01/31/2024,EXPIRE,-750,MANUAL_ADJUSTMENT,Expired miles batch
500189,FF100046,46,,2024-06-14,EXPIRE,-1500,PROMOTION_ENGINE,Expired miles batch
500190,FF100106,106,,2024-06-21,BONUS,500,MANUAL_ADJUSTMENT,Bonus miles campaign
500191,FF100096,96,,2024-06-23,EXPIRE,-1500,PROMOTION_ENGINE,Expired miles batch
500192,FF100004,4,,03/02/2024,EXPIRE,-1000,LOYALTY_SYSTEM,Expired miles batch
500193,FF100018,18,,02-FEB-2024,ADJUSTMENT,250,MANUAL_ADJUSTMENT,Customer care miles adjustment
500194,FF100097,97,,2024-05-12,EXPIRE,-750,LOYALTY_SYSTEM,Expired miles batch
500195,FF100014,14,,2024-01-19,EXPIRE,-1500,LOYALTY_SYSTEM,Expired miles batch
500196,FF100011,11,,20-APR-2024,BONUS,2000,LOYALTY_SYSTEM,Bonus miles campaign
500197,FF100053,53,,01/11/2024,EXPIRE,-2000,MANUAL_ADJUSTMENT,Expired miles batch
500198,FF100054,54,,06/29/2024,EXPIRE,-2000,PROMOTION_ENGINE,Expired miles batch
500199,FF100099,99,,28-MAY-2024,EXPIRE,-1500,PROMOTION_ENGINE,Expired miles batch
500200,FF100032,32,,2024-02-04,BONUS,2000,LOYALTY_SYSTEM,Bonus miles campaign
500201,FF100041,41,,18-FEB-2024,BONUS,2000,MANUAL_ADJUSTMENT,Bonus miles campaign
500202,FF100060,60,,07-APR-2024,BONUS,1500,PROMOTION_ENGINE,Bonus miles campaign
500203,FF100001,1,,2024-06-15,EXPIRE,-250,LOYALTY_SYSTEM,Expired miles batch
500204,FF100092,92,,2024-06-11,ADJUSTMENT,250,PROMOTION_ENGINE,Customer care miles adjustment
500205,FF100087,87,,02-JAN-2024,BONUS,500,MANUAL_ADJUSTMENT,Bonus miles campaign
500206,FF100026,26,,25-FEB-2024,EXPIRE,-1500,LOYALTY_SYSTEM,Expired miles batch
500207,FF100067,67,,24-JAN-2024,EXPIRE,-750,LOYALTY_SYSTEM,Expired miles batch
500208,FF100063,63,,04/13/2024,ADJUSTMENT,250,MANUAL_ADJUSTMENT,Customer care miles adjustment
500209,FF100080,80,,05/01/2024,BONUS,1500,PROMOTION_ENGINE,Bonus miles campaign
500210,FF100092,92,,20-JAN-2024,EXPIRE,-750,PROMOTION_ENGINE,Expired miles batch
500211,FF100099,99,,02/23/2024,BONUS,5000,LOYALTY_SYSTEM,Bonus miles campaign
500212,FF100089,89,,2024-03-20,BONUS,250,MANUAL_ADJUSTMENT,Bonus miles campaign
500213,FF100107,107,,01/22/2024,BONUS,5000,MANUAL_ADJUSTMENT,Bonus miles campaign
500214,FF100021,21,,08-MAR-2024,BONUS,250,PROMOTION_ENGINE,Bonus miles campaign
500215,FF100093,93,,17-MAR-2024,BONUS,500,LOYALTY_SYSTEM,Bonus miles campaign
500216,FF100103,103,,18-MAR-2024,EXPIRE,-250,PROMOTION_ENGINE,Expired miles batch
500217,FF100033,33,,26-MAR-2024,BONUS,750,PROMOTION_ENGINE,Bonus miles campaign
500218,FF100102,102,,2024-02-01,EXPIRE,-750,MANUAL_ADJUSTMENT,Expired miles batch
500219,FF100044,44,,05/17/2024,EXPIRE,-1500,MANUAL_ADJUSTMENT,Expired miles batch
500220,FF100007,7,,01/13/2024,EXPIRE,-250,PROMOTION_ENGINE,Expired miles batch
500221,FF100093,93,,01/03/2024,EXPIRE,-5000,MANUAL_ADJUSTMENT,Expired miles batch
500222,FF100087,87,,2024-02-20,BONUS,5000,MANUAL_ADJUSTMENT,Bonus miles campaign
500223,FF100095,95,,01/19/2024,EXPIRE,-250,PROMOTION_ENGINE,Expired miles batch
500224,FF100063,63,,07-APR-2024,BONUS,1000,PROMOTION_ENGINE,Bonus miles campaign
500225,FF100050,50,,2024-05-07,EXPIRE,-750,MANUAL_ADJUSTMENT,Expired miles batch
500226,FF100021,21,,2024-04-30,EXPIRE,-500,MANUAL_ADJUSTMENT,Expired miles batch
500227,FF100031,31,,11-FEB-2024,BONUS,5000,PROMOTION_ENGINE,Bonus miles campaign
500228,FF100052,52,,25-MAY-2024,EXPIRE,-750,LOYALTY_SYSTEM,Expired miles batch
500229,FF100058,58,,2024-03-01,BONUS,250,MANUAL_ADJUSTMENT,Bonus miles campaign
500230,FF100038,38,,2024-06-07,ADJUSTMENT,500,PROMOTION_ENGINE,Customer care miles adjustment
500231,FF100010,10,,05/18/2024,BONUS,1500,LOYALTY_SYSTEM,Bonus miles campaign
500232,FF100019,19,,11-JAN-2024,BONUS,500,PROMOTION_ENGINE,Bonus miles campaign
500233,FF100102,102,,2024-02-07,BONUS,250,MANUAL_ADJUSTMENT,Bonus miles campaign
500234,FF100072,72,,2024-01-10,EXPIRE,-750,MANUAL_ADJUSTMENT,Expired miles batch
500235,FF100052,52,,2024-06-15,BONUS,1500,PROMOTION_ENGINE,Bonus miles campaign
500236,FF100046,46,,05/07/2024,ADJUSTMENT,1000,MANUAL_ADJUSTMENT,Customer care miles adjustment
500237,FF100026,26,,24-JAN-2024,ADJUSTMENT,-250,PROMOTION_ENGINE,Customer care miles adjustment
500238,FF100115,115,,2024-02-11,BONUS,250,PROMOTION_ENGINE,Bonus miles campaign
500239,FF100068,68,,2024-04-22,ADJUSTMENT,500,PROMOTION_ENGINE,Customer care miles adjustment
500240,FF100026,26,,05/15/2024,EXPIRE,-500,MANUAL_ADJUSTMENT,Expired miles batch
500241,FF100004,4,,04/21/2024,EXPIRE,-500,PROMOTION_ENGINE,Expired miles batch
500242,FF100033,33,,28-JUN-2024,ADJUSTMENT,-500,PROMOTION_ENGINE,Customer care miles adjustment
500243,FF100092,92,,16-JAN-2024,EXPIRE,-1500,MANUAL_ADJUSTMENT,Expired miles batch
500244,FF100068,68,,2024-05-12,ADJUSTMENT,500,LOYALTY_SYSTEM,Customer care miles adjustment
500245,FF100111,111,,04/03/2024,ADJUSTMENT,-500,LOYALTY_SYSTEM,Customer care miles adjustment
500246,FF100096,96,,2024-04-13,BONUS,1000,MANUAL_ADJUSTMENT,Bonus miles campaign
500247,FF100106,106,,2024-06-25,BONUS,2000,PROMOTION_ENGINE,Bonus miles campaign
500248,FF100084,84,,08-APR-2024,EXPIRE,-2000,PROMOTION_ENGINE,Expired miles batch
500249,FF100069,69,,04/16/2024,BONUS,5000,MANUAL_ADJUSTMENT,Bonus miles campaign
500250,FF100053,53,,2024-03-09,BONUS,500,MANUAL_ADJUSTMENT,Bonus miles campaign
500251,FF100030,30,,19-JAN-2024,BONUS,250,PROMOTION_ENGINE,Bonus miles campaign
500252,FF100082,82,,03/06/2024,BONUS,1000,LOYALTY_SYSTEM,Bonus miles campaign
500253,FF100043,43,,25-JAN-2024,BONUS,250,PROMOTION_ENGINE,Bonus miles campaign
500254,FF100071,71,,01/28/2024,EXPIRE,-500,MANUAL_ADJUSTMENT,Expired miles batch
500255,FF100093,93,,21-FEB-2024,EXPIRE,-2000,LOYALTY_SYSTEM,Expired miles batch
500256,FF100107,107,,2024-06-19,EXPIRE,-1000,PROMOTION_ENGINE,Expired miles batch
500257,FF100060,60,,01/31/2024,BONUS,1000,LOYALTY_SYSTEM,Bonus miles campaign
500258,FF100004,4,,03-APR-2024,EXPIRE,-250,PROMOTION_ENGINE,Expired miles batch
500259,FF100108,108,,2024-02-09,BONUS,500,PROMOTION_ENGINE,Bonus miles campaign
500260,FF100009,9,,02/04/2024,EXPIRE,-500,PROMOTION_ENGINE,Expired miles batch
500261,FF100068,68,,2024-03-24,BONUS,1000,PROMOTION_ENGINE,Bonus miles campaign
